merge_sort_wrapper,heap_sort_wrapper,insertion_sort_wrapper,shell_sort_wrapper,quick_sort_wrapper,data_types
"{'times': [0.001456799999687064, 0.0032030000002123415, 0.005138200000146753, 0.00741939999988972, 0.00980359999994107, 0.011424999999690044, 0.013216400000146677, 0.0379931000002216, 0.01789859999962573, 0.022367300000041723], 'k': [7570, 16970, 27002, 37536, 48404, 59462, 70674, 82296, 94112, 105868]}","{'times': [0.003509000000121887, 0.007944100000258913, 0.013040899999850808, 0.019957400000294, 0.023121100000025763, 0.028735599999890837, 0.035533200000372744, 0.040059699999801524, 0.047724099999868486, 0.05225289999998495], 'k': [13811, 31193, 49842, 69452, 89728, 110440, 131558, 153572, 175311, 197498]}","{'times': [0.011162700000113546, 0.04872750000004089, 0.10817750000023807, 0.2017198999997163, 0.29686549999996714, 0.4314177000001109, 0.5750637000001007, 0.7483899999997448, 0.9774471000000631, 1.2281369000002087], 'k': [64886, 278852, 615209, 1135058, 1698401, 2454371, 3285935, 4251764, 5451161, 6673694]}","{'times': [0.009288599999763392, 0.040942099999938364, 0.09423990000004778, 0.1686611999998604, 0.25100509999992937, 0.36357040000029883, 0.48806269999977303, 0.6755484999998771, 0.9005572000000939, 1.0258224999997765], 'k': [54589, 234009, 517304, 950363, 1421692, 2051832, 2747432, 3563841, 4551329, 5549057]}","{'times': [0.0020731000004161615, 0.0028538000001390174, 0.004958899999564892, 0.006820499999776075, 0.008633999999801745, 0.01052830000026006, 0.011724099999810278, 0.01582879999978104, 0.017817399999785266, 0.01899150000008376], 'k': [7408, 16113, 27196, 37050, 48478, 59654, 66778, 90488, 96091, 102440]}",random
"{'times': [0.0013375999997151666, 0.003051799999866489, 0.0047675999999228225, 0.006318900000223948, 0.008152099999733764, 0.010026499999639782, 0.012611800000286166, 0.01389870000002702, 0.015641100000266306, 0.018009500000061962], 'k': [6002, 13206, 20718, 28814, 37026, 45038, 52998, 62430, 71430, 80054]}","{'times': [0.003175999999712076, 0.007700900000145339, 0.012058400000114489, 0.01673369999980423, 0.021753200000148354, 0.026544600000306673, 0.032082400000035705, 0.03669469999977082, 0.04408899999998539, 0.048027599999841186], 'k': [12634, 28805, 46542, 64824, 84433, 103697, 123739, 144112, 165354, 185529]}","{'times': [0.02279820000012478, 0.09262189999981274, 0.21341369999981907, 0.38855980000016643, 0.5963773999997102, 0.868505500000083, 1.177703500000007, 1.59843120000005, 1.9285204999996495, 2.3664960000000974], 'k': [134849, 539699, 1214546, 2159387, 3374234, 4859084, 6613928, 8638772, 10933622, 13498469]}","{'times': [0.01834899999994377, 0.07242459999997664, 0.1649717000000237, 0.2946747000000869, 0.44116410000015094, 0.6501700999997411, 0.8690808999999717, 1.1555315999999038, 1.457976200000303, 1.7948670000000675], 'k': [102685, 407955, 911099, 1618130, 2520745, 3638148, 4943240, 6451920, 8160362, 10072055]}","{'times': [0.01732739999988553, 0.06874909999987722, 0.15711989999999787, 0.2745742000001883, 0.43292360000032204, 0.6163172000001396, 0.8320603000001938, 1.1239606999997704, 1.4107684000000518, 1.8879481999997552], 'k': [113547, 452097, 1012722, 1790187, 2802687, 4047237, 5495587, 7166902, 9087952, 11219432]}",increasing
"{'times': [0.0013241000001471548, 0.0032366000000365602, 0.00461040000027424, 0.006264300000111689, 0.008136500000091473, 0.010640300000432035, 0.012250599999788392, 0.013634100000217586, 0.015651899999738816, 0.018064699999740697], 'k': [5746, 12698, 20186, 27798, 35788, 43974, 52424, 60398, 68796, 77576]}","{'times': [0.00372960000004241, 0.008531499999662628, 0.015594399999827147, 0.019038100000216218, 0.024653999999827647, 0.030091099999935977, 0.03674879999971381, 0.044789099999889004, 0.04890499999964959, 0.05471869999973933], 'k': [14771, 33102, 52833, 73515, 95156, 116579, 138555, 162025, 185200, 208711]}","{'times': [9.600000021237065e-05, 0.00020499999982348527, 0.0003121999998256797, 0.00045180000006439514, 0.0005280000000311702, 0.000637799999822164, 0.0007399000000987144, 0.0008468999999422522, 0.0009519000000182132, 0.001167899999927613], 'k': [299, 599, 899, 1199, 1499, 1799, 2099, 2399, 2699, 2999]}","{'times': [0.00014009999995323597, 0.0002934999997705745, 0.00044579999985217, 0.0006134999998721469, 0.0008482999996886065, 0.0009046999998645333, 0.0010483999999451044, 0.0012052000001858687, 0.0013582000001406414, 0.0014999999998508429], 'k': [415, 825, 1235, 1646, 2056, 2463, 2873, 3282, 3692, 4100]}","{'times': [0.024928400000135298, 0.09971300000006522, 0.23540549999961513, 0.4178509000003032, 0.639904099999967, 0.8681581999999253, 1.1821924999999283, 1.5382783000000018, 1.9567974999999933, 2.405217800000173], 'k': [136047, 542097, 1218147, 2164197, 3380247, 4866297, 6622347, 8648397, 10944447, 13510497]}",decreasing
"{'times': [0.0013443000002553163, 0.0035787000001619163, 0.007024700000329176, 0.006848200000149518, 0.008629500000097323, 0.01025439999966693, 0.012438799999927141, 0.013791899999887391, 0.015864099999816972, 0.017576400000052672], 'k': [6002, 13206, 20718, 28814, 37026, 46818, 54640, 62634, 71114, 79182]}","{'times': [0.003328100000089762, 0.007534400000167807, 0.01218220000009751, 0.01726329999974041, 0.021609800000078394, 0.027293999999983498, 0.032859299999927316, 0.039414400000168825, 0.04655009999987669, 0.054393200000049546], 'k': [12635, 28826, 46521, 64882, 84568, 104929, 127987, 152612, 177112, 201720]}","{'times': [0.02294949999986784, 0.09056640000017069, 0.20800280000003113, 0.37796309999976074, 0.5909340999996857, 0.6216761999999108, 0.6069388000000799, 0.6016410000001997, 0.6008114000001115, 0.5932692999999745], 'k': [134843, 539684, 1214528, 2159369, 3374210, 3421571, 3421871, 3422171, 3422471, 3422771]}","{'times': [0.0182729000002837, 0.070373600000039, 0.15915420000010272, 0.29330320000008214, 0.4645007999997688, 0.4671431000001576, 0.4647975000002589, 0.4677283000000898, 0.47213490000012825, 0.4502921999996943], 'k': [102679, 407943, 911084, 1618115, 2520727, 2557020, 2557136, 2556369, 2556779, 2557187]}","{'times': [0.016362500000013824, 0.067668500000309, 0.15184240000007776, 0.27173290000018824, 0.4369139999998879, 0.5883131999999023, 0.9015094999999747, 1.2968075999997382, 1.7156466999999793, 2.149090299999898], 'k': [111557, 448647, 1007072, 1787502, 2789527, 3624545, 5380595, 7406645, 9702695, 12268745]}",a shaped
"{'times': [0.0013245000000097207, 0.0028885000001537264, 0.004598900000019057, 0.006455599999753758, 0.008310900000196852, 0.009970899999643734, 0.012401800000134244, 0.014063000000078318, 0.017283099999986007, 0.01769079999985479], 'k': [5750, 12700, 20186, 27802, 35786, 45550, 54132, 62964, 72484, 78928]}","{'times': [0.003793100000166305, 0.008472400000300695, 0.013597799999843119, 0.01923750000014479, 0.024685699999736244, 0.029143300000214367, 0.03401559999974779, 0.039472899999964284, 0.04525530000000799, 0.0500569999999243], 'k': [14741, 33030, 52838, 73597, 95094, 112206, 131029, 151398, 172330, 193719]}","{'times': [9.789999967324547e-05, 0.00021150000020497828, 0.00031880000005912734, 0.0004328999998506333, 0.0005439999999907741, 0.2603866000004018, 0.567207700000381, 0.920571199999813, 1.3235420999999405, 1.8032341999996788], 'k': [299, 599, 899, 1199, 1499, 1480709, 3235547, 5260391, 7555241, 10120091]}","{'times': [0.0001434000000699598, 0.00029119999999238644, 0.00044089999983043526, 0.0005942000002505665, 0.0007463000001735054, 0.24382610000020577, 0.5132794999999533, 0.8075418000003083, 1.13384619999988, 1.556719300000168], 'k': [415, 825, 1235, 1646, 2056, 1385955, 2906753, 4569480, 6371342, 8316824]}","{'times': [0.023580699999911303, 0.09682030000021769, 0.24606619999985924, 0.39279409999971904, 0.6208713999999418, 0.13474399999995512, 0.284758199999942, 0.4016062000000602, 0.6581393000001299, 1.0174963999998], 'k': [136047, 542097, 1218147, 2164197, 3380247, 752953, 1530791, 2257025, 3820105, 5953825]}",v shaped
