s dir_12n_ham dir_12n_ham_sd dir_12n_eul dir_12n_eul_sd ndir_12n_ham ndir_12n_ham_sd ndir_12n_eul ndir_12n_eul_sd
0.1 3.805499727604911e-06 1.5483028022503339e-06 6.623849967581918e-05 7.37929447515047e-06 5.00049991387641e-06 1.9979409175939556e-06 5.903690016566543e-05 1.5408605651788522e-06
0.2 2.5867499971354846e-05 2.0707568089632844e-05 7.009420023678104e-05 2.35492006240949e-06 3.404210037842859e-05 1.684000376271081e-05 6.0223000036785376e-05 2.5185133592162504e-06
0.3 8.734270031709456e-05 6.704653337888324e-05 8.806120022200047e-05 2.2454977124286135e-05 0.0005031347996919067 0.00015142515413458233 6.019209995429264e-05 1.9347790905216527e-06
0.4 8.993690025818068e-05 8.486477778965516e-05 0.0001103808004700113 6.396394009388354e-05 0.002667217300040647 0.0037030353426287174 6.18230002146447e-05 4.655667311756055e-06
0.5 2.9838099908374716e-05 2.9483512875718893e-05 9.991270017053466e-05 3.932296135690111e-05 0.0001806438001949573 0.00021208052987622812 6.744080001226393e-05 2.2800346765002728e-05
0.6 1.1744399671442807e-05 3.587831536943061e-06 9.254970063921064e-05 2.728514396207728e-06 3.1676400249125435e-05 2.070156124291557e-05 6.481789987446973e-05 1.5525171789166596e-05
0.7 1.5671999972255434e-05 8.367666892602601e-06 9.701139988465002e-05 2.1158467151719107e-06 4.526440025074407e-05 8.646642585567373e-05 5.897760001971619e-05 1.4706039803865106e-06
0.8 1.0865900003409479e-05 1.2773756949534448e-06 0.00010294670009898254 3.0692351450092124e-06 1.7330100308754482e-05 6.303078134189852e-06 6.044829988240963e-05 1.911513102002242e-06
0.9 1.0544100223341957e-05 1.0858911165227066e-06 0.00010708790014177794 3.5251439057644445e-06 1.5370300388894975e-05 2.7650020964051966e-06 5.872410001757089e-05 6.32226739265359e-07
