n generating_time search_time traversing_time balancing_time
50 0.0008605262917269692 9.039694893409252e-05 0.004045052438120326 0.0002477771621461255
100 0.000535687215211096 9.949926723788204e-05 0.0001220188129666381 0.00011595862050538356
150 0.00606651584415348 0.00016230065247441945 0.00044779271744267767 9.480016931111184e-05
200 0.011984818402226172 0.0003987178217612073 0.00075676555553193 0.0006644040832149416
250 0.043117587716566985 0.00017114123188438616 0.0003384997186600464 0.0002688672163408117
300 0.041751582172254116 0.0003061839022803829 0.00032714299044260276 0.004078106086219868
350 0.02917016958586541 0.000194473210809487 0.00020147292804248112 0.003372174470563363
400 0.11214927400816371 0.001290188426294735 0.0015499097592997057 0.0033929898618670594
450 0.11866707854180768 0.0002996608856711767 0.0009396461268844782 0.005945178824686765
500 0.08259531371090274 0.0005055107237964839 0.0012305972038235222 0.001144559993945777
