merge_sort_wrapper,heap_sort_wrapper,insertion_sort_wrapper,shell_sort_wrapper,quick_sort_wrapper,data_types
"{'times': [1.2671001968556083e-06, 0.018453759299791272, 0.04108399919996373, 0.06705706800012194, 0.0866488780000509, 0.10876487489995271, 0.13304424639982243, 0.21169364039988067, 0.1900614273998144, 0.2113555002000794], 'k': [1, 66752, 145482, 229440, 315020, 404484, 495134, 586282, 678102, 773334]}","{'times': [1.6310998944391031e-06, 0.0436864466998486, 0.09775305739995019, 0.1572549879001599, 0.2143006785999205, 0.2766614251999272, 0.3370951825000702, 0.4051216698000644, 0.47121412819997205, 0.5328681320999749], 'k': [0, 124141, 272454, 431358, 593341, 762057, 933364, 1107691, 1282801, 1462207]}","{'times': [1.0296001164533664e-06, 0.042561611400105906, 0.17654789250009345, 0.39750014860001104, 0.7149487287001648, 1.1336669950000213, 1.610878804299955, 2.1887485506998927, 2.8622175532000256, 3.658691159999853], 'k': [0, 180721, 731349, 1671080, 2978920, 4694898, 6683339, 9136111, 11950653, 15040295]}","{'times': [6.004999704600777e-07, 0.03464592090003862, 0.14758605819997683, 0.3313518645999466, 0.5951295738000226, 0.9187815220999255, 1.3217069715001344, 1.7650124643998424, 2.3200758863001285, 2.9638717879998695], 'k': [0, 146970, 618197, 1396132, 2477076, 3851861, 5475284, 7487545, 9794311, 12329974]}","{'times': [1.3515998944058083e-06, 0.0032152725998457754, 0.008103881500028364, 0.012493162999999186, 0.01630304439977408, 0.02244900380010222, 0.029123110700038524, 0.0310953091000556, 0.03463670239998464, 0.042566027700104314], 'k': [2, 13593, 30267, 51318, 64617, 94674, 116211, 127098, 149307, 169880]}",random
"{'times': [8.722998245502823e-07, 0.01540247660004752, 0.0347611316999064, 0.052526061899789055, 0.07384011379999719, 0.09340831830013485, 0.11342248669989204, 0.1362021040999025, 0.1550390809999044, 0.17866003999988606], 'k': [1, 49680, 107362, 167122, 230724, 292836, 358248, 424142, 493454, 558524]}","{'times': [1.3968000530439894e-06, 0.045982835500035436, 0.10192898989980677, 0.16509333689991762, 0.22403377110013026, 0.2891017784998439, 0.35621276640013094, 0.4140959174998898, 0.4813199803000316, 0.5436275677999219], 'k': [0, 130388, 287144, 455131, 623912, 802091, 981435, 1160864, 1340223, 1529210]}","{'times': [6.790998668293468e-07, 0.00022132269996291142, 0.00044954000004508997, 0.0006858574000943918, 0.0009630051999010902, 0.0011788272000558208, 0.0014351222998811863, 0.0016249391000201286, 0.0018901137001194, 0.002213438000126189], 'k': [0, 499, 999, 1499, 1999, 2499, 2999, 3499, 3999, 4499]}","{'times': [5.462999979499727e-07, 0.00030759500004933215, 0.0006253178999941156, 0.0009468016000028001, 0.0012621191001016996, 0.0017031078999934835, 0.0020719249001558636, 0.002291806399807683, 0.0026076316000398945, 0.002856183599851647], 'k': [0, 690, 1370, 2056, 2736, 3419, 4100, 4786, 5467, 6151]}","{'times': [1.1657999493763783e-06, 0.08947559649996037, 0.37926155059985833, 0.8393839073999516, 1.5011112753000817, 2.371437149299891, 3.448406407599941, 4.7252745740000135, 6.3195454333999805, 7.947799020900038], 'k': [2, 376747, 1503497, 3380247, 6006997, 9383747, 13510497, 18387247, 24013997, 30390747]}",increasing
"{'times': [8.434998562734109e-07, 0.0176178909002374, 0.034989145799863765, 0.05455951690000802, 0.07507956290000947, 0.09776361889980763, 0.11568744370006243, 0.13608440069974675, 0.15737876129996947, 0.1772331726999255], 'k': [1, 50126, 108254, 172110, 232510, 301630, 368222, 434334, 497022, 570414]}","{'times': [1.436099955753889e-06, 0.04189709180009231, 0.09083265949993802, 0.14424935519991777, 0.20253070219996516, 0.26183901139993393, 0.3163064764998126, 0.37757568869983515, 0.48993301860009525, 0.5015443083998434], 'k': [0, 116800, 257863, 407323, 563140, 723505, 886519, 1054928, 1223890, 1396212]}","{'times': [5.394000254455022e-07, 0.08698520689986253, 0.3535896986998523, 0.8030259785999079, 1.415573589899941, 2.2273287014001655, 3.2323724298000345, 4.387367626000196, 5.71886238750003, 7.288524079900162], 'k': [0, 374749, 1499493, 3374240, 5998990, 9373740, 13498490, 18373237, 23997987, 30372737]}","{'times': [4.351001734903548e-07, 0.06614122400023917, 0.2622772598001575, 0.592665571500038, 1.0479797132001294, 1.6478290039001877, 2.363172984799985, 3.225668341599885, 4.228933207800037, 5.387958014499963], 'k': [0, 282948, 1123160, 2520745, 4485981, 6993746, 10072067, 13707238, 17895193, 22627801]}","{'times': [2.4249999114545063e-06, 0.07064360539998234, 0.2651604019999468, 0.6021865315997275, 1.0775267516000895, 1.709009991899984, 2.4636488664000353, 3.397898599600194, 4.468064681000032, 5.64873796360007], 'k': [2, 314247, 1248657, 2811117, 5002962, 7819712, 11260497, 15311302, 20003052, 25319802]}",decreasing
"{'times': [6.878998647152912e-07, 0.017144527199980074, 0.03474804600000425, 0.053875292500106295, 0.07481153569997331, 0.09649470259982991, 0.11491462130006766, 0.13549018400017304, 0.15677765999998883, 0.17828656519996003], 'k': [1, 49678, 107360, 167124, 230720, 292836, 369234, 437322, 506784, 580564]}","{'times': [1.5426998288603499e-06, 0.04707017919981808, 0.10180568680016222, 0.16139481139989584, 0.22240289090013904, 0.2872979427998871, 0.33881272339986024, 0.39405392549997487, 0.515170629000022, 0.519907076599884], 'k': [0, 130395, 287144, 455154, 623869, 802218, 943318, 1103429, 1273511, 1445483]}","{'times': [6.65199968352681e-07, 0.00022240700009206192, 0.0004509663001044828, 0.0006813075000536628, 0.0009110230001169839, 0.0011430408000705939, 0.0013888062001569778, 0.0016619250001895125, 0.0019195061000573332, 0.00209651440000016], 'k': [0, 499, 999, 1499, 1999, 2499, 2999, 3499, 3999, 4499]}","{'times': [5.449998752737883e-07, 0.0003142325998851447, 0.0006547485001647147, 0.0010085660999720858, 0.0015009863999694063, 0.001731033899977774, 0.0019530637000571005, 0.0022776789000090504, 0.0026989725000021282, 0.0028768930002115666], 'k': [0, 690, 1370, 2056, 2736, 3419, 4100, 4786, 5467, 6151]}","{'times': [1.2602000424521976e-06, 0.0892657420001342, 0.37331607700007224, 0.8289912540999467, 1.484568678800042, 2.4152754324998567, 3.5182369505998397, 4.866177959000197, 6.35924930730007, 7.964982915200198], 'k': [2, 376747, 1503497, 3380247, 6006997, 9383747, 13510497, 18387247, 24013997, 30390747]}",a shaped
"{'times': [7.508001544920262e-07, 0.016414937999979885, 0.03382535190012277, 0.053038417599964305, 0.07390301759996873, 0.09725348310003028, 0.11734480240002085, 0.13811513439977716, 0.16059653120018993, 0.1817245961999106], 'k': [1, 50126, 108254, 172110, 232510, 301630, 377306, 441206, 499750, 568438]}","{'times': [1.9363998944754714e-06, 0.04238139629997022, 0.0936424077999618, 0.1478122705001624, 0.2040543363999859, 0.26066669190004177, 0.3240069020999726, 0.39725022619977607, 0.46692861169995015, 0.5340269922997323], 'k': [0, 116839, 257894, 407311, 563160, 723488, 912118, 1100356, 1287821, 1486029]}","{'times': [5.528000656340737e-07, 0.08912322169990147, 0.3538520692998645, 0.800242776399864, 1.4276789771999574, 2.232498869600204, 3.219491676900179, 4.390496211699883, 5.721802740900057, 7.330371631199978], 'k': [0, 374743, 1499490, 3374240, 5998987, 9373734, 13498484, 18373234, 23997984, 30372734]}","{'times': [4.3910013118875214e-07, 0.06319249839989424, 0.26391575010011364, 0.5876094442000067, 1.0382029709999188, 1.6444460344999243, 2.3299462431999927, 3.2611635623999975, 4.288904866699886, 5.412952930200026], 'k': [0, 282945, 1123160, 2520748, 4485984, 6993746, 10072067, 13707238, 17895193, 22627801]}","{'times': [1.1716000699379946e-06, 0.06582078360024753, 0.26148295189987036, 0.5958655536999686, 1.0725137303000338, 1.7457854389000205, 2.4900307322001027, 3.609719267699893, 4.476602748900132, 5.708239212400076], 'k': [2, 314247, 1251692, 2817747, 5000342, 7809147, 11253397, 15321802, 20013552, 25328247]}",v shaped
